suite,problem,size,ams,nvar,ncon,nnzj,nnzh,tobj,tcon,tgrad,tjac,thess,tcreate
OPF-rect,pglib_opf_case3120sp_k.m,pglib_opf_case3120sp_k.m,JuMP,21608,38332,131271,152700,1.61e-7,0.00356234,0.000163107,0.009595973,0.01051845,0.569739899
OPF-rect,pglib_opf_case3375wp_k.m,pglib_opf_case3375wp_k.m,JuMP,24350,42624,147625,171344,2.93e-7,0.005029417,0.000226528,0.013849211,0.012020415,0.761730555
OPF-rect,pglib_opf_case3970_goc.m,pglib_opf_case3970_goc.m,JuMP,35270,62368,229185,268329,6.09e-7,0.007502449,0.000365311,0.019510315,0.019949922,1.267967341
OPF-rect,pglib_opf_case4020_goc.m,pglib_opf_case4020_goc.m,JuMP,36696,64997,240487,281733,5.23e-7,0.008211602,0.000358061,0.020382454,0.021720249,1.305118202
OPF-rect,pglib_opf_case4601_goc.m,pglib_opf_case4601_goc.m,JuMP,38814,68798,249623,292062,7.5e-7,0.008335938,0.000412267,0.021755107,0.022611084,1.337595609
OPF-rect,pglib_opf_case4619_goc.m,pglib_opf_case4619_goc.m,JuMP,42532,75527,280381,328615,5.26e-7,0.011517711,0.000414208,0.027515232,0.026611561,1.44734044
OPF-rect,pglib_opf_case4661_sdet.m,pglib_opf_case4661_sdet.m,JuMP,34758,60624,213389,246806,1.002e-6,0.007773701,0.000382055,0.020058821,0.018723445,1.232934694
OPF-rect,pglib_opf_case4837_goc.m,pglib_opf_case4837_goc.m,JuMP,41398,73704,268589,314564,5.55e-7,0.009151856,0.00040031,0.023678104,0.024838488,1.477220763
OPF-rect,pglib_opf_case4917_goc.m,pglib_opf_case4917_goc.m,JuMP,37872,66751,237431,274769,1.174e-6,0.008014527,0.00041059,0.022088252,0.021661325,1.314123535
OPF-rect,pglib_opf_case5658_epigrids.m,pglib_opf_case5658_epigrids.m,JuMP,48552,86137,313885,367368,6.2e-7,0.009638934,0.000508734,0.027495688,0.029453337,1.775048307
OPF-rect,pglib_opf_case6468_rte.m,pglib_opf_case6468_rte.m,JuMP,49734,88873,314865,365810,5.84e-7,0.011939809,0.000521024,0.029840744,0.027735394,1.839364882
OPF-rect,pglib_opf_case6470_rte.m,pglib_opf_case6470_rte.m,JuMP,50482,88916,315709,365612,8.84e-7,0.013718349,0.00054879,0.030814884,0.02980684,1.611493803
OPF-rect,pglib_opf_case6495_rte.m,pglib_opf_case6495_rte.m,JuMP,50426,89114,316147,365864,7.95e-7,0.014875174,0.000548984,0.034048495,0.031049194,1.68136259
OPF-rect,pglib_opf_case6515_rte.m,pglib_opf_case6515_rte.m,JuMP,50546,89320,316817,366514,8.02e-7,0.013873895,0.0005951,0.033198153,0.031742623,1.689502059
